
-- Insertion in Drinks Table

-- Teas
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'White Tea', 1, 1.78);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Black Tea', 1, 2.21);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Green Tea', 1, 1.23);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Herbal Tea', 1, 1.00);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Oolong Tea', 1, 3.20);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Yerba Mate Tea', 1, 4.50);

-- Coffees
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Caffe Latte', 2, 4.25);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Caffe Mocha', 2, 6.00);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Espresso', 2, 3.80);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Double Espresso', 2, 4.00);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Cappucino', 2, 4.20);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Cafe Au Lait', 2, 4.80);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Iced Mocha', 2, 6.50);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Iced Latte', 2, 4.30);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Cold Brew Coffee', 2, 5.10);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Espresso Macchiato', 2, 4.45);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Freakshake', 2, 7.00);

-- Sodas
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Coca-Cola', 3, 2.50);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Pepsi', 3, 3.25);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Sprite', 3, 1.50);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Fanta', 3, 3.00);	
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Mountain Dew', 3, 4.00);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Dr. Pepper', 3, 2.75);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Ginger Ale', 3, 2.25);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Root Beer', 3, 1.75);
-- Lemonades
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Classic Lemonade', 4, 3.50);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Strawberry Lemonade', 4, 4.00);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Peach Lemonade', 4, 3.90);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Raspberry Lemonade', 4, 4.20);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
VALUES(drinks_seq.NEXTVAL, 'Blueberry Lemonade', 4, 4.40);
INSERT INTO Drinks(drink_id, drink_name, drink_type_id, drink_price)
